order_month,total_sales
2015-01,14205.71
2015-02,4519.89
2015-03,55205.8
2015-04,27906.85
2015-05,23644.3
2015-06,34322.94
2015-07,33781.54
2015-08,27117.54
2015-09,81623.53
2015-10,31453.39
2015-11,77907.66
2015-12,68167.06
2016-01,18066.96
2016-02,11951.41
2016-03,32339.32
2016-04,34154.47
2016-05,29959.53
2016-06,23599.37
2016-07,28608.26
2016-08,36818.34
2016-09,63133.61
2016-10,31011.74
2016-11,75249.4
2016-12,74543.6
2017-01,18542.49
2017-02,22978.81
2017-03,51165.06
2017-04,38679.77
2017-05,56656.91
2017-06,39724.49
2017-07,38320.78
2017-08,30542.2
2017-09,69193.39
2017-10,59583.03
2017-11,79066.5
2017-12,95739.12
2018-01,43476.47
2018-02,19921.0
2018-03,58863.41
2018-04,35541.91
2018-05,43825.98
2018-06,48190.73
2018-07,44825.1
2018-08,62837.85
2018-09,86152.89
2018-10,77448.13
2018-11,117938.15
2018-12,83030.39
